topic,applies_to,symptom,fix
eevee headless windows,forge-render blender,"Render fails with GL error, display error, or blank PNG","Use CYCLES engine. Set scene.render.engine='CYCLES'; scene.cycles.device='CPU'. EEVEE Next is unsupported headless on Windows."
blender -- separator,blender headless all scripts,"Script args parsed as Blender args; sys.argv contains no custom args after parse","Always place -- between the script path and custom args: blender -b scene.blend -P s.py -- --myarg value"
openscad exe vs com,openscad windows,"GUI window flickers/blocks CI; openscad appears to hang","Call openscad.com (the console binary), NOT openscad.exe. The .com binary is the headless version on Windows."
python3 not found,all python scripts,"'python3' is not recognized as a command","Use 'python' not 'python3' on Windows. Python installs as python.exe; python3.exe is typically absent."
stdout encoding cp1252,all python scripts,"Script crashes or emits garbled output with non-ASCII characters (degree symbols, accents)","Add UTF-8 stdout wrapper at script top: import sys,io; if sys.stdout.encoding and sys.stdout.encoding.lower()!='utf-8': sys.stdout=io.TextIOWrapper(sys.stdout.buffer,encoding='utf-8')"
csv bom utf-8,python csv scripts,"First column header has BOM prefix (e.g. 'ï»¿format' not 'format'); zero results for first column lookups","Open CSV with encoding='utf-8-sig' (the -sig strips BOM): open(path,'r',encoding='utf-8-sig')"
blender relative path,blender render,"Render output goes to wrong location or is not found; path starts with //","Use absolute forward-slash paths in scene.render.filepath. Never use // (relative). Example: 'C:/project/out/render_'"
fbx 100x scale,fbx to engine conversion,"Character imports 100x too large (2m height shows as 200 units in bounding box)","Blender FBX import: apply_unit_scale=True. Blender FBX export to UE5: apply_scale_options='FBX_SCALE_ALL'. assimp CLI has no direct scale fix - use Blender."
unapplied transforms,blender export any,"Bounding box wrong in engine; scale mismatch; rigging breaks; wrong size","Apply transforms before export: bpy.ops.object.transforms_apply(rotation=True, scale=True). Check Item panel: scale must be 1,1,1."
negative scale,blender export,"Normals appear inverted in engine (dark patches on outward surfaces); physics wrong","Apply scale (Ctrl+A -> Scale) then Mesh -> Normals -> Recalculate Outside. Caused by S X -1 mirror without applying."
export_apply array,blender gltf export,"GLB file is 50-100x larger than expected (100-segment road -> 56 MB)","Set export_apply=False in bpy.ops.export_scene.gltf(). Only bake modifiers when engine cannot interpret them."
ngons in export,blender fbx game engine,"Shading artifacts on smooth surfaces after import (triangle star patterns)","Triangulate in Blender before export: Mesh->Faces->Triangulate Faces. Or add Triangulate modifier."
material dot duplicates,blender pipeline,"Material.001, Material.002 inflating draw calls; wrong materials in-engine","Search: [m.name for m in bpy.data.materials if re.search(r'\.\d{3}$', m.name)]. Merge duplicates via Material Properties."
max_path 260,windows file ops,"Blender silently fails to export; Python open() raises FileNotFoundError; path > 260 chars","Enable long paths: Set-ItemProperty -Path HKLM:\SYSTEM\CurrentControlSet\Control\FileSystem -Name LongPathsEnabled -Value 1. Keep paths under 150 chars."
color space normal map,texture import,"Subtle incorrect shading on normal-mapped surfaces; not obvious at low res","Normal maps must use Non-Color/Linear color space in Blender Image texture node. _BC/_E = sRGB; _N/_ORM/_R/_M = Non-Color."
lightmap uv overlap,uv unwrap baking,"Inconsistent patchy shadows in baked lightmaps; bleed between faces","LightmapUV (channel 2) MUST have zero overlapping islands. Use Blender Lightmap Pack with margin=0.02."
draco breaks animation,gltf-transform web,"Animated GLB shows T-pose or broken animation after Draco compression","Draco only compresses static vertex buffers. Use Meshopt for animated assets: gltf-transform meshopt or gltfpack -cc."
draco seams photogrammetry,gltf-transform draco,"Visible cracks/gaps in mesh after Draco compression, especially at seams or on large models","Use --quantize-position 20 (default is 14). gltf-transform draco input.glb out.glb --quantize-position 20"
toktx not on path,gltf-transform ktx2,"gltf-transform etc1s / uastc fails: 'toktx not found'","Add C:\Program Files\KTX-Software\bin to PATH. Temp: $env:PATH += ';C:\Program Files\KTX-Software\bin'"
ktx2loader before renderer,three.js,"KTX2 textures load but display uncompressed RGBA; no GPU savings; detectSupport silently no-ops","Call ktx2Loader.detectSupport(renderer) AFTER new THREE.WebGLRenderer(). Needs live WebGL context."
gltfpack npm no texture,gltfpack web,"gltfpack -tc flag silently ignored; no texture compression despite flag","npm version is a JS wrapper without texture encoder. Download native gltfpack-windows.zip binary from meshoptimizer releases."
sharp install proxy,gltf-transform npm,"npm install fails on Sharp prebuilt binary download","Set npm config: npm config set sharp_binary_host 'https://npmmirror.com/mirrors/sharp'"
webp vram not saved,web 3d,"Scene with WebP KTX2 textures hits VRAM limit despite small file sizes","WebP decompresses to RGBA on GPU upload. 200 KB WebP = 16 MB GPU at 2048x2048. Use KTX2 (ETC1S/UASTC) when GPU memory is the constraint."
draco decoder 404,three.js draco,"DRACOLoader fails with 404 on draco_wasm_wrapper.js","Copy node_modules/three/examples/jsm/libs/draco/ to public/static/draco/. Trailing slash required in dracoLoader.setDecoderPath('/static/draco/')."
assimp fbx export experimental,assimp,"FBX exported via assimp export -ffbx loses rigs, blend shapes, wrong transforms","assimp FBX export is marked 'experimental'. Use Blender bpy.ops.export_scene.fbx() for FBX output."
assimp usd disabled,assimp USD,"assimp listext does not show .usd/.usda/.usdc extensions","USD importer compiled out by default. Build assimp with -DASSIMP_BUILD_USD_IMPORTER=ON. Use Blender for production USD workflows."
alembic frame range,blender alembic,"Alembic plays only 1 frame; animation collapsed to static pose","Explicitly set start and end in bpy.ops.wm.alembic_export(start=scene.frame_start, end=scene.frame_end). Defaults are -2147483648."
blender z-up glb root bone,blender gltf three.js,"Root bone has unexpected -90 degree rotation in exported GLB (.rotation.x = -Math.PI/2 in Three.js)","This is CORRECT behavior per glTF spec. Blender inserts coordinate-change at root. THREE.js GLTFLoader handles it automatically. Do NOT set export_apply=True to fix it."
skill prose invocation,forge all skills,"Model narrates 'next run forge-X' but nothing actually executes","Run = call the Skill tool with exact skill name. Writing 'now run forge-X' in prose runs nothing. This is the single most documented failure mode."
forge_md not read,forge all skills,"Skill produces output contradicting project's established tool choices, budgets, or paths","Read FORGE.md first as step 0. Every forge-* skill must honor FORGE.md values over dataset defaults."
toktx missing fallback,forge-optimize web,"toktx not found / not on PATH; KTX2 texture compression step fails mid-optimize","Fall back to --texture-compress webp (gltf-transform, ImageMagick-based): npx gltf-transform optimize in.glb out.glb --meshopt --quantize --texture-compress webp. KTX2 is an optimization, not a requirement; WebP saves bandwidth but not GPU VRAM. To get KTX2, install KhronosGroup/KTX-Software and add its bin to PATH."
cycles seed unpinned,forge-render forge-validate,"QA renders of an unchanged mesh differ frame-to-frame (noise drift); cannot diff for visual regressions; compare-loop never converges","Pin determinism: scene.cycles.seed=0 and scene.cycles.use_animated_seed=False; also fixed (non-adaptive) sample count, scene.cycles.device='CPU', blender --factory-startup, absolute output paths. Persist the seed + Blender version in FORGE.md Â§Determinism."
gltf-validator missing,forge-validate,"gltf_validator command not found mid-gate; FileNotFoundError raised by the validation subprocess","WARN (do not hard-fail the gate) and fall back to stdlib GLB header/size checks (magic b'glTF', version, byte length) plus pygltflib schema load. Install the real validator: npm install -g gltf-validator, or download the KhronosGroup/glTF-Validator Windows zip and add it to PATH."
